
"Emailadres *","E-mail adres *"
"First Name *","Voornaam *"
"Shipping Address","Waar mogen de sapjes heen?"
"Sign Up For Newsletter","Ja, ik ontvang graag nieuws en aanbiedingen. (U wordt niet bedolven onder mails, echt niet)."
"My billing and shipping address are the same","Factuuradres is hetzelfde als bezorgadres."
"Discount Code","Voucher Code"
"Payment Method","Hoe wilt u betalen?"
"Email Address","Emailadres"
"Empty Cart","Uw wijnmandje is leeg"
"Looks like there\'s nothing here yet. Add something to your shopping cart to get started.","Sorry, er zit nog niets in uw winkelmandje"
"Continue Shopping","Doorgaan met winkelen"
"Address validation","Adres gegevens"
"Fill out your postcode and housenumber to auto-complete your address.","Vul uw postcode en huisnummer in om het complete adres automatisch in te laden."
